,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data,Bruno,Caio,Daniel,Evelly,Evellyn B.,Fernanda,Guilherme,Jéssica M.,João F.,João L.,Johnathan,Karen,Luciano,Luiz F.,Luiz H.,Nataly,Nicolli,Richard,Tarciane,Tatiana,Thais,Outros,Evilyn,Total,Dias Úteis,,Data,Amanda,Bárbara,Fernanda,Gabriella,Hilary,Jeanne,Jéssica V.,Patryck,Vitor,Outros,Total,,,,
,01/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2026,,,,,,,,,,,,,,,
,02/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2026,,,,,,,,,,,,,,,
,03/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,03/01/2026,,,,,,,,,,-,,,,,
,04/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,04/01/2026,,,,,,,,,,-,,,,,
,05/01/2026,0,0,-,0,1,2,0,0,-,0,-,1,1,-,3,-,-,3,-,-,0,,,11,1,,05/01/2026,3,3,,0,-,0,-,0,-,-,6,,,,
,06/01/2026,0,0,-,0,0,4,0,0,-,0,-,0,0,-,2,-,-,4,-,-,0,,,10,1,,06/01/2026,0,3,,0,-,0,-,0,-,-,3,,,,
,07/01/2026,0,0,1,0,0,6,0,0,5,0,6,0,0,-,2,-,1,3,-,-,0,,,24,1,,07/01/2026,2,5,,0,3,0,0,0,-,-,10,,,,
,08/01/2026,0,0,0,0,2,1,0,1,5,0,6,0,0,-,2,-,0,2,-,-,0,,,19,1,,08/01/2026,3,3,,0,10,0,1,0,-,,17,,,,
,09/01/2026,0,0,0,0,0,4,0,0,3,0,5,0,0,-,0,-,3,0,-,-,0,,,15,1,,09/01/2026,1,4,,0,0,0,3,0,-,,8,,,,
,10/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,10/01/2026,,,,,,,,,,-,,,,,
,11/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,11/01/2026,,,,,,,,,,-,,,,,
,12/01/2026,0,0,4,0,0,5,0,0,-,0,4,0,0,-,1,0,6,0,-,-,0,,,20,1,,12/01/2026,3,-,,0,0,0,0,0,-,-,3,,,,
,13/01/2026,0,0,6,0,0,3,0,0,-,0,5,0,0,-,1,3,3,0,-,-,0,,,21,1,,13/01/2026,0,5,,0,3,0,0,0,-,-,8,,,,
,14/01/2026,0,0,7,0,0,2,0,0,-,0,7,0,0,-,3,6,0,0,-,-,0,,,25,1,,14/01/2026,0,0,,0,0,0,1,0,-,-,1,,,,
,15/01/2026,0,0,4,0,0,4,0,0,-,1,9,0,0,-,1,4,0,0,-,-,0,,,23,1,,15/01/2026,0,0,,0,3,0,0,0,-,,3,,,,
,16/01/2026,0,0,3,0,0,3,0,0,-,0,8,0,0,-,2,3,3,0,-,-,0,,,22,1,,16/01/2026,0,0,,6,2,0,0,0,-,,8,,,,
,17/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,17/01/2026,,,,,,,,,,-,,,,,
,18/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2026,,,,,,,,,,-,,,,,
,19/01/2026,0,0,1,0,0,3,0,0,-,0,6,0,0,8,1,6,1,0,-,6,0,,,32,1,,19/01/2026,3,6,,3,3,0,0,0,-,-,15,,,,
,20/01/2026,0,0,3,0,0,4,0,0,-,0,8,0,0,8,1,1,1,0,-,5,0,,,31,1,,20/01/2026,0,2,,0,6,0,0,0,-,,8,,,,
,21/01/2026,0,0,0,0,0,0,0,0,-,0,7,0,0,4,1,2,4,0,3,3,0,,,24,1,,21/01/2026,0,3,,9,6,0,0,0,-,-,18,,,,
,22/01/2026,0,0,4,0,0,0,0,0,-,0,6,0,0,6,1,0,7,0,1,4,0,,,29,1,,22/01/2026,2,0,,3,5,0,3,0,-,,13,,,,
,23/01/2026,0,0,4,0,0,6,0,0,-,0,2,0,0,2,0,3,2,0,2,2,0,,,23,1,,23/01/2026,0,0,,6,0,10,0,0,-,,16,,,,
,24/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,24/01/2026,,,,,,,,,,-,,,,,
,25/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/2026,,,,,,,,,,-,,,,,
,26/01/2026,0,0,4,0,0,3,0,0,-,0,4,0,0,8,1,2,2,0,3,7,0,,,34,1,,26/01/2026,3,0,,0,0,0,5,0,-,-,8,,,,
,27/01/2026,0,0,3,0,0,5,0,0,-,0,4,0,0,8,0,2,3,0,2,2,0,,,29,1,,27/01/2026,0,0,,3,0,0,3,0,3,-,9,,,,
,28/01/2026,0,0,3,0,0,3,0,0,-,0,6,0,0,3,0,1,1,0,7,3,0,,,27,1,,28/01/2026,3,1,,3,3,0,3,0,1,-,14,,,,
,29/01/2026,0,0,1,0,0,2,0,0,-,0,5,0,0,5,0,3,4,0,0,5,0,,,25,1,,29/01/2026,0,3,,0,3,0,0,0,0,,6,,,,
,30/01/2026,0,0,2,0,0,2,0,0,-,0,5,0,0,2,2,4,2,0,1,3,0,,,23,1,,30/01/2026,9,6,,6,6,0,0,22,0,,49,,,,
,31/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,31/01/2026,,,,,,,,,,,,,,,
,Total inserções,0,0,50,0,3,62,0,1,13,1,103,1,1,54,24,40,43,12,19,40,0,0,0,467,20,,Total Compras,32,44,0,39,53,10,19,22,4,0,223,DIAS ÚTEIS,,,
